Name,Latitude,Longitude
Lucretia Mott,39.979154,-75.177342
Harriet Cady Eaton,4.1714618,-74.002414
Elizabeth Cady Stanton,4.1714618,-74.002414
Margaret Pryor,42.951019,-76.430862
Mary Ann M'Clintock,42.907165,-76.854249
Elizabeth W. M'Clintock,42.907165,-76.854249
Mary M'Clintock,42.907165,-76.854249
Margaret Schooley,,
Martha C. Wright,,
Jane C. Hunt,,
Eunice Newton Foote,,
Amy Post,,
Catherine F. Stebbins,,
Mary Ann Frink,,
Lydia Mount,,
Della Matthews,,
Catherine C. Paine,,
Malvina Seymour,,
Phebe Mosher,,
Catherine Shaw,,
Deborah Scott,,
Mary Gilbert,,
Sarah Hallowell,,
Sophronia Taylor,,
Cynthia Davis,,
Hannah Plant,,
Lucy Jones,,
Sarah Whitney,,
Mary H. Hallowell,,
Elizabeth Conklin,,
Sally Pitcher,,
Mary Conklin,,
Mary S. Mirror,,
Phebe King,,
Julia Ann Drake,,
Charlotte Woodward,,
Martha Underhill,,
Dorothy Mathews,,
Eunice Barker,,
Sarah R. Woods,,
Lydia Gild,,
Sarah Hoffman,,
Elizabeth Leslie,,
Martha Ridley,,
Rachel D. Bonnel,,
Belsey Tewksbury,,
Rhoda Palmer,,
Margaret Jenkins,,
Cynthia Fuller,,
Mary Martin,,
P. A. Culvert,,
Susan R. Doty,,
Rebecca Race,,
Sarah A. Mosher,,
Mary E. Vall,,
Lucy Spalding,,
Lovina Latham,,
Sarah Smith,,
Eliza Martin,,
Maria E. Wilbur,,
Elizabeth D. Smith,,
Caroline Barker,,
Ann Porter,,
Experience Gibbs,,
Antoinette E. Segur,,
Hannah J. Latham,,
Sarah Sisson,,
Richard P. Hunt,,
Samuel D. Tillman,,
Justin Williams,,
Elisha Foote,,
Frederick Douglass,,
Henry W. Seymour,,
Henry Seymour,,
David Spalding,,
William G. Barker,,
Elias J. Doty,,
John Jones,,
William S. Dell,,
James Mott,,
William Burroughs,,
Robert Smallbridge,,
Jacob Mathews,,
Charles L. Hoskins,,
Thomas M'Clintock,,
Saron Phillips,,
Jaboc P. Chamberlain,,
Jonathan Metcalf,,
Nathan J. Milliken,,
S.E. Woodworth,,
Edward F. Underhill,,
George W. Pryor,,
Joel Bunker,,
Isaac VanTassel,,
Thomas Dell,,
E. W. Capron,,
Stephen Shear,,
Henry Hatley,,
Azaliah Schooley,,
